price,area,bedrooms,bathrooms,address
8.5,80.0,3.0,2.0,quận 3
10.0,74.0,2.0,2.0,quận 3
3.555,72.0,2.0,2.0,quận 3
1.1,68.0,2.0,2.0,quận 3
10.5,88.0,2.0,2.0,quận 2
13.0,96.0,2.0,2.0,quận 2
15.0,100.0,2.0,2.0,quận 2
19.0,142.0,3.0,2.0,quận 2
20.0,135.0,3.0,2.0,quận 2
12.0,70.0,2.0,2.0,quận 2
14.0,130.0,2.0,2.0,quận 2
13.5,100.0,2.0,2.0,quận 2
13.0,100.0,2.0,2.0,quận 2
11.7,88.0,2.0,2.0,quận 2
14.0,100.0,2.0,2.0,quận 2
16.8,135.0,3.0,2.0,quận 2
12.0,120.0,3.0,2.0,quận 2
7.0,88.0,3.0,2.0,quận 2
10.0,100.0,2.0,2.0,quận 2
10.5,120.0,3.0,2.0,quận 2
12.0,88.0,2.0,2.0,quận 2
13.0,112.0,3.0,2.0,quận 2
8.2,92.0,2.0,2.0,quận 2
13.0,100.0,2.0,2.0,quận 2
9.7,88.0,2.0,2.0,quận 2
12.9,120.0,3.0,2.0,quận 2
11.5,113.0,3.0,2.0,quận 2
12.9,98.0,2.0,2.0,quận 2
11.0,120.0,3.0,2.0,quận 2
13.5,100.0,2.0,2.0,quận 2
18.0,127.0,3.0,2.0,quận 2
13.0,113.0,3.0,2.0,quận 2
9.2,88.0,2.0,2.0,quận 2
16.0,127.0,3.0,2.0,quận 2
10.3,97.0,2.0,2.0,quận 2
2.46,105.0,3.0,2.0,quận 2
2.455,95.0,3.0,2.0,quận 2
1.689,95.0,3.0,2.0,quận 2
5.999,72.0,2.0,2.0,quận 2
1.34,67.0,2.0,2.0,quận 2
1.55,95.0,3.0,2.0,quận 2
1.55,61.0,2.0,2.0,quận 2
1.28,77.0,2.0,2.0,quận 2
1.55,61.0,2.0,2.0,quận 2
1.45,108.0,3.0,2.0,quận 2
1.58,102.0,3.0,2.0,quận 2
21.0,129.0,3.0,2.0,quận 2
20.5,127.0,3.0,2.0,quận 2
10.5,92.0,2.0,2.0,quận 2
12.9,113.0,3.0,2.0,quận 2
11.5,88.0,2.0,2.0,quận 2
10.2,88.0,2.0,2.0,quận 2
18.0,127.0,3.0,2.0,quận 2
8.5,80.0,3.0,2.0,quận 3
10.0,74.0,2.0,2.0,quận 3
3.555,72.0,2.0,2.0,quận 3
1.1,68.0,2.0,2.0,quận 3
2.15,106.6,3.0,2.0,quận 3
2.14,101.0,3.0,2.0,quận 3
3.5,94.0,3.0,2.0,quận 3
2.15,77.0,2.0,2.0,quận 3
3.15,98.0,3.0,2.0,quận 3
1.86,68.0,2.0,2.0,quận 3
5.49,58.0,1.0,2.0,quận 3
3.95,90.0,2.0,2.0,quận 3
3.205,72.0,2.0,2.0,quận 3
3.8,90.0,2.0,2.0,quận 3
1.64,72.0,2.0,2.0,quận 3
1.985,75.0,2.0,2.0,quận 3
1.88,88.0,2.0,2.0,quận 3
3.205,72.0,2.0,2.0,quận 3
1.99,72.0,2.0,2.0,quận 3
1.45,64.0,2.0,2.0,quận 3
3.55,91.0,2.0,2.0,quận 3
7.9,79.0,3.0,2.0,quận 3
1.67,76.0,2.0,2.0,quận 3
1.605,92.0,2.0,2.0,quận 3
1.45,64.0,2.0,2.0,quận 3
2.065,88.0,2.0,2.0,quận 3
1.53,72.0,2.0,2.0,quận 3
2.155,75.0,2.0,2.0,quận 3
1.5699999999999998,72.0,2.0,2.0,quận 3
3.6,82.0,2.0,2.0,quận 3
1.735,60.0,2.0,2.0,quận 3
1.53,72.0,2.0,2.0,quận 3
3.6,82.0,2.0,2.0,quận 3
2.03,90.0,3.0,2.0,quận 3
1.925,80.0,2.0,2.0,quận 3
7.2,72.0,2.0,2.0,quận 3
8.5,80.0,3.0,2.0,quận 3
10.0,74.0,2.0,2.0,quận 3
3.555,72.0,2.0,2.0,quận 3
1.1,68.0,2.0,2.0,quận 3
2.15,106.6,3.0,2.0,quận 3
2.14,101.0,3.0,2.0,quận 3
3.5,94.0,3.0,2.0,quận 3
2.15,77.0,2.0,2.0,quận 3
3.15,98.0,3.0,2.0,quận 3
1.86,68.0,2.0,2.0,quận 3
5.49,58.0,1.0,2.0,quận 3
3.95,90.0,2.0,2.0,quận 3
3.205,72.0,2.0,2.0,quận 3
3.8,90.0,2.0,2.0,quận 3
1.64,72.0,2.0,2.0,quận 3
1.985,75.0,2.0,2.0,quận 3
1.88,88.0,2.0,2.0,quận 3
3.205,72.0,2.0,2.0,quận 3
1.99,72.0,2.0,2.0,quận 3
1.45,64.0,2.0,2.0,quận 3
3.55,91.0,2.0,2.0,quận 3
7.9,79.0,3.0,2.0,quận 3
1.67,76.0,2.0,2.0,quận 3
1.605,92.0,2.0,2.0,quận 3
1.45,64.0,2.0,2.0,quận 3
2.065,88.0,2.0,2.0,quận 3
1.53,72.0,2.0,2.0,quận 3
2.155,75.0,2.0,2.0,quận 3
1.5699999999999998,72.0,2.0,2.0,quận 3
3.6,82.0,2.0,2.0,quận 3
1.735,60.0,2.0,2.0,quận 3
1.53,72.0,2.0,2.0,quận 3
3.6,82.0,2.0,2.0,quận 3
2.03,90.0,3.0,2.0,quận 3
1.925,80.0,2.0,2.0,quận 3
7.2,72.0,2.0,2.0,quận 3
1.46,84.0,2.0,2.0,quận 4
2.585,102.0,3.0,2.0,quận 4
2.75,84.0,2.0,2.0,quận 4
2.015,72.0,2.0,2.0,quận 4
1.835,81.0,2.0,2.0,quận 4
3.125,85.0,2.0,2.0,quận 4
1.85,80.64,2.0,2.0,quận 4
3.588,81.0,2.0,2.0,quận 4
2.83,92.0,3.0,2.0,quận 4
2.05,82.0,2.0,2.0,quận 4
1.97,71.0,2.0,2.0,quận 4
2.58,78.5,2.0,2.0,quận 4
1.388,80.64,2.0,2.0,quận 4
11.1,114.0,3.0,2.0,quận 4
2.9,45.0,2.0,2.0,quận 4
9.7,117.0,3.0,2.0,quận 4
7.5,80.0,2.0,2.0,quận 4
6.5,80.0,2.0,2.0,quận 4
6.9,80.0,2.0,2.0,quận 4
6.5,83.0,3.0,2.0,quận 4
7.3,111.0,3.0,2.0,quận 4
6.0,105.0,3.0,2.0,quận 4
4.6,80.0,2.0,2.0,quận 4
8.5,135.0,4.0,2.0,quận 4
5.75,99.0,1.0,2.0,quận 4
5.0,72.0,2.0,2.0,quận 4
5.5,75.0,2.0,2.0,quận 4
9.2,139.0,4.0,2.0,quận 4
5.5,92.0,2.0,2.0,quận 4
9.2,100.0,3.0,2.0,quận 4
5.5,92.0,2.0,2.0,quận 4
6.5,80.0,2.0,2.0,quận 4
5.3,75.0,2.0,2.0,quận 4
5.0,71.0,2.0,2.0,quận 4
5.5,85.0,2.0,2.0,quận 4
6.0,100.0,3.0,2.0,quận 4
8.6,135.0,4.0,2.0,quận 4
1.835,81.0,2.0,2.0,quận 4
2.55,63.5,2.0,2.0,quận 4
1.645,84.0,2.0,2.0,quận 4
1.58,71.0,2.0,2.0,quận 4
6.25,68.0,2.0,2.0,quận 4
1.53,75.0,2.0,2.0,quận 4
1.46,84.0,2.0,2.0,quận 4
1.605,71.0,2.0,2.0,quận 4
1.835,81.0,2.0,2.0,quận 4
2.47,60.0,2.0,2.0,quận 4
3.8,92.0,3.0,2.0,quận 4
2.02,70.0,2.0,2.0,quận 4
