price,area,bedrooms,bathrooms,address,price_per_m2
41.0,700.0,5.0,5.0,quận 2,0.05857142857142857
10.0,106.0,3.0,2.0,quận 2,0.09433962264150944
8.7,160.0,4.0,3.0,quận 5,0.05437499999999999
59.0,137.0,3.0,2.0,quận 2,0.4306569343065693
0.946,49.0,2.0,2.0,quận 10,0.01930612244897959
1.58,102.0,3.0,2.0,quận 2,0.015490196078431374
4.16,48.7,1.0,1.0,quận 9,0.08542094455852156
9.28,109.0,3.0,2.0,quận 2,0.08513761467889908
13.5,137.0,3.0,2.0,quận 7,0.09854014598540146
3.9,73.0,2.0,2.0,quận 9,0.05342465753424657
8.0,70.0,2.0,2.0,quận 1,0.11428571428571428
5.5,75.0,2.0,2.0,quận 7,0.07333333333333333
11.5,113.0,3.0,3.0,quận 2,0.10176991150442478
6.5,112.0,3.0,3.0,quận 9,0.05803571428571429
4.15,100.0,2.0,2.0,nhà bè,0.0415
4.8,72.0,2.0,1.0,quận 4,0.06666666666666667
3.4,51.0,1.0,1.0,quận 9,0.06666666666666667
3.6,114.0,3.0,2.0,bình chánh,0.031578947368421054
1.25,1.0,2.0,2.0,quận 3,1.25
5.0,103.0,3.0,2.0,quận 9,0.04854368932038835
24.0,127.0,3.0,2.0,quận 2,0.1889763779527559
5.4,150.0,3.0,2.0,quận 8,0.036000000000000004
7.9,35.0,4.0,4.0,phú nhuận,0.22571428571428573
1.99,72.0,2.0,2.0,quận 3,0.02763888888888889
2.14,57.0,2.0,2.0,thủ đức,0.03754385964912281
36.0,180.0,20.0,20.0,quận 7,0.2
3.9,74.0,2.0,1.0,quận 5,0.0527027027027027
4.623,60.0,1.0,1.0,quận 10,0.07705000000000001
4.0,74.39,2.0,2.0,quận 9,0.05377066810055115
2.7,47.1,1.0,1.0,quận 9,0.05732484076433121
5.0,92.0,3.0,2.0,quận 9,0.05434782608695652
56.0,180.0,24.0,25.0,bình thạnh,0.3111111111111111
3.2,64.0,1.0,2.0,quận 9,0.05
8.5,72.31,2.0,2.0,quận 9,0.11754943991149218
8.0,72.0,2.0,2.0,quận 1,0.1111111111111111
9.3,87.0,2.0,2.0,quận 10,0.10689655172413794
3.5,94.0,3.0,2.0,quận 3,0.03723404255319149
28.0,154.0,3.0,2.0,phú nhuận,0.18181818181818182
5.0,103.0,3.0,2.0,quận 9,0.04854368932038835
5.4,92.0,3.0,2.0,quận 9,0.058695652173913045
0.005,30.0,1.0,1.0,bình thạnh,0.00016666666666666666
2.65,69.0,2.0,2.0,quận 9,0.03840579710144927
6.5,50.68,1.0,1.0,quận 2,0.1282557221783741
21.0,129.0,3.0,2.0,quận 2,0.16279069767441862
4.6,70.0,2.0,2.0,nhà bè,0.06571428571428571
9.7,117.0,3.0,2.0,quận 4,0.0829059829059829
6.1,86.0,2.0,2.0,quận 10,0.07093023255813953
2.65,20.0,2.0,2.0,bình thạnh,0.1325
10.0,100.0,2.0,2.0,quận 2,0.1
9.6,118.0,3.0,2.0,quận 7,0.08135593220338982
6.3,46.0,1.0,1.0,quận 7,0.13695652173913042
3.0,60.0,2.0,1.0,quận 9,0.05
4.14,78.0,2.0,2.0,quận 1,0.05307692307692307
10.5,120.0,5.0,0.0,nhà bè,0.0875
13.5,210.0,3.0,2.0,quận 10,0.06428571428571428
